# amp_ratio	peakF(nN)	maxdepth(nm)	phase1(deg)	phase2(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
5.874021956436722425e-01	2.318902097777885842e+02	-7.111012702643344063e+00	4.141793969592827551e+01	1.612504016673744189e+01	7.000590704652638578e+02	4.760498653402174796e+02	-9.843777587363171051e+02	-9.649762366877150725e+02
6.129864822481128073e-01	2.351885582907306400e+02	-7.356723276425396030e+00	4.320294697504988335e+01	1.565956961647529511e+01	7.082566994265938547e+02	4.691789565925523675e+02	-1.010174470548663635e+03	-9.789988265695554901e+02
6.384382168051788708e-01	2.364694427205039347e+02	-6.887266539996387493e+00	4.503886176212245118e+01	1.499619009388963065e+01	7.176350258762240628e+02	4.606966765437509821e+02	-1.033420965736002017e+03	-9.886123864356160311e+02
6.637507825930120120e-01	2.356771384839262566e+02	-7.083731684608174817e+00	4.693129845233906394e+01	1.412578484934570078e+01	7.238236152611973466e+02	4.511952620534724474e+02	-1.050858897090998198e+03	-9.934222579923678040e+02
6.889198925673009066e-01	2.385812664304408486e+02	-7.413630548100776707e+00	4.886692491177747399e+01	1.391773933916775619e+01	7.244621243621106714e+02	4.385354307663466216e+02	-1.061078382267370216e+03	-9.934002176175902150e+02
7.138664150033414701e-01	2.391643550458624929e+02	-7.644606351079956674e+00	5.085149151799258505e+01	1.389783461953406274e+01	7.193673691523728166e+02	4.230156768881503808e+02	-1.063067213919239293e+03	-9.881075748469970677e+02
7.385278833846379287e-01	2.359445768145312741e+02	-7.164301104148449006e+00	5.283569984163190725e+01	1.602420374893091193e+01	7.084198144814309899e+02	4.016044352408825375e+02	-1.058185631763032006e+03	-9.782597494994506633e+02
7.630735141576470149e-01	2.379776947110115941e+02	-7.476411250117991791e+00	5.495005947703726434e+01	1.719153247412480212e+01	6.932781226948343374e+02	3.807378349312596697e+02	-1.043564181472492464e+03	-9.611051983399361234e+02
7.873571541236035198e-01	2.379916355298458086e+02	-7.633708163027574933e+00	5.714263680322658701e+01	1.891274494766554071e+01	6.772120812039186148e+02	3.622377165741891076e+02	-1.021755213474576294e+03	-9.371127719559507341e+02
8.116873597219330660e-01	2.322220103383558012e+02	-7.249787017812808543e+00	5.944942560176599500e+01	2.137674902174936875e+01	6.489263431358330081e+02	3.365678818880020344e+02	-9.850476598727547071e+02	-9.054024889182112474e+02
8.354002650684378972e-01	2.348189393055340304e+02	-7.385736420812959224e+00	6.175759535730773564e+01	2.513608661924333276e+01	6.084259982959626996e+02	3.081023327101329983e+02	-9.373464006389392580e+02	-8.678850442579948776e+02
8.588494954758558730e-01	2.307364966942687943e+02	-7.476438310718982905e+00	6.421265137885323782e+01	2.917302285349037305e+01	5.612142011088076288e+02	2.731715179668806286e+02	-8.755768083483094415e+02	-8.207383723699680331e+02
8.816677699238685273e-01	2.245549756659906677e+02	-7.013897945708304604e+00	6.678701080916974320e+01	3.348909115755656529e+01	4.984760491793578581e+02	2.437247618716235422e+02	-7.945964673504324765e+02	-7.640617831301938168e+02
9.040224391144145999e-01	2.216583105855488327e+02	-7.175827523727150492e+00	6.961146937758365993e+01	3.812558978186807224e+01	4.314068199399175114e+02	2.106667956873962737e+02	-6.926676822910042119e+02	-6.933432352667065288e+02
9.255624658533626592e-01	2.066427076727339909e+02	-6.801001335482197874e+00	7.263582194391698010e+01	4.329066217978570563e+01	3.516693554590499389e+02	1.829266870444989195e+02	-5.699069280842528542e+02	-6.094101652544674153e+02
9.459106623080879572e-01	1.949334882519870860e+02	-6.471201072391237652e+00	7.579538429326331084e+01	4.917473683679760654e+01	2.810726274014651835e+02	1.369427605123315175e+02	-4.532761835895316267e+02	-5.135014732156039372e+02
9.645195478202400752e-01	1.698589617039844484e+02	-6.214772345386625929e+00	7.936253586920341263e+01	5.574411097203544330e+01	2.076768840709956692e+02	9.807991223711189832e+01	-3.483913407888335314e+02	-3.959462009109814176e+02
9.800644989955076269e-01	1.283498919779988512e+02	-4.915571301085785549e+00	8.333921799693928278e+01	6.291367767508275932e+01	1.228754156470296834e+02	6.092215131013544038e+01	-2.208689960027373900e+02	-2.558563302037818517e+02
9.907678320520499904e-01	7.402968953699625843e+01	-3.729722384506509503e+00	8.755711765534213953e+01	7.071362450745644423e+01	3.816643146628268113e+01	2.259945396276511786e+01	-7.987848563074199149e+01	-9.994389545781395157e+01
9.938082002664613279e-01	-6.392264055873865606e-07	-0.000000000000000000e+00	8.995299339509985259e+01	7.548985184537721693e+01	1.766816195118280954e-03	4.848076758674857878e+00	1.362029687217567675e+00	-9.198261750840812212e+00
